cohort.x,_name_NA,_latitude_NA.x,_longitude_NA.x,_location_city_name_input_data,_street_number_input_data,_city_state_input_data.x,_zcta_code_input_data.x,_latitude_input_data.x,_longitude_input_data.x,_nearest_chainxy_vt_vec_distance_5_mi,_nearest_chainxy_vt_vec_driving_distance_5_mi,_nearest_chainxy_vt_vec_driving_time_5_mi,_nearest_chainxy_vt_vec_chain_name_5_mi,_nearest_chainxy_vt_vec_storefront_5_mi,_nearest_chainxy_vt_vec_address_5_mi,_nearest_chainxy_vt_vec_city_5_mi,_nearest_chainxy_vt_vec_state_5_mi,_nearest_chainxy_vt_vec_latitude_5_mi,_nearest_chainxy_vt_vec_longitude_5_mi,_nearest_chainxy_vt_vioc_distance_5_mi,_nearest_chainxy_vt_vioc_driving_distance_5_mi,_nearest_chainxy_vt_vioc_driving_time_5_mi,_nearest_chainxy_vt_vioc_chain_name_5_mi,_nearest_chainxy_vt_vioc_storefront_5_mi,_nearest_chainxy_vt_vioc_address_5_mi,_nearest_chainxy_vt_vioc_city_5_mi,_nearest_chainxy_vt_vioc_state_5_mi,_nearest_chainxy_vt_vioc_latitude_5_mi,_nearest_chainxy_vt_vioc_longitude_5_mi,cohort.y,_latitude_NA.y,_longitude_NA.y,_city_state_input_data.y,_zcta_code_input_data.y,_latitude_input_data.y,_longitude_input_data.y,_nearest_chainxy_vt_costco_distance_5_mi,_nearest_chainxy_vt_costco_driving_distance_5_mi,_nearest_chainxy_vt_costco_driving_time_5_mi,_nearest_chainxy_vt_costco_chain_name_5_mi,_nearest_chainxy_vt_costco_storefront_5_mi,_nearest_chainxy_vt_costco_address_5_mi,_nearest_chainxy_vt_costco_city_5_mi,_nearest_chainxy_vt_costco_latitude_5_mi,_nearest_chainxy_vt_costco_longitude_5_mi,_nearest_chainxy_vt_costco_store_type_5_mi,_nearest_chainxy_vt_costco_parent_chain_name_5_mi,_nearest_chainxy_vt_walmart_distance_5_mi,_nearest_chainxy_vt_walmart_driving_distance_5_mi,_nearest_chainxy_vt_walmart_driving_time_5_mi,_nearest_chainxy_vt_walmart_chain_name_5_mi,_nearest_chainxy_vt_walmart_storefront_5_mi,_nearest_chainxy_vt_walmart_address_5_mi,_nearest_chainxy_vt_walmart_city_5_mi,_nearest_chainxy_vt_walmart_latitude_5_mi,_nearest_chainxy_vt_walmart_longitude_5_mi,_nearest_chainxy_vt_walmart_store_type_5_mi,_nearest_chainxy_vt_walmart_parent_chain_name_5_mi,_nearest_streetlight_day_part_road_name_5_mi,_nearest_streetlight_day_part_aadt_5_mi,_2nd_nearest_streetlight_day_part_road_name_5_mi,_2nd_nearest_streetlight_day_part_aadt_5_mi,_3rd_nearest_streetlight_day_part_road_name_5_mi,_3rd_nearest_streetlight_day_part_aadt_5_mi,_4th_nearest_streetlight_day_part_road_name_5_mi,_4th_nearest_streetlight_day_part_aadt_5_mi,_5th_nearest_streetlight_day_part_road_name_5_mi,_5th_nearest_streetlight_day_part_aadt_5_mi,_2024_estimate_5_mi,_2029_projection_5_mi
2,Mathews Automotive Express - Parma Heights,41.3776287,-81.7843997,Mathews Automotive Express - Parma Heights,6881 W 130th St,"Parma city, OH",44130,41.3776287,-81.7843997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32110937759484,2.78353081856008,8.9180059943466,Valvoline Instant Oil Change,Parma,7899 Day Drive,Parma,OH,NA,NA,2,41.3776287,-81.7843997,"Parma city, OH",44130,41.3776287,-81.7843997,4.1235982356748,6.18916470186431,14.0155200876979,Costco Wholesale,Strongsville,16690 Royalton Rd,Strongsville,NA,NA,Warehouse,NA,2.10231633999253,NA,8.27348896266188,Walmart USA,Parma Supercenter,8303 W Ridgewood Dr,Parma,NA,NA,Supercenter,NA,West 130th Street,3783,West 130th Street,4271,West 130th Street,4568,West 130th Street,3662,Pearl Road,7683,227683.590621679,221720.48428564
2,Maui CW & Express Lube - Roseviille,38.7299748,-121.2918702,Maui CW & Express Lube - Roseviille,525 Cirby Way,Roseville,95678,38.7299748,-121.2918702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.59975512427525,3.68663437984048,7.54869601533463,Valvoline Instant Oil Change,Citrus Heights,7548 Green Back Lane,Citrus Heights,CA,NA,NA,2,38.7299748,-121.2918702,Roseville,95678,38.7299748,-121.2918702,2.31193857648768,3.02638387778983,7.94773450811215,Costco Wholesale,Citrus Heights,7000 Auburn Blvd,Citrus Heights,NA,NA,Warehouse,NA,2.23863099687796,3.25732816170344,6.72681874311504,Walmart USA,Roseville Supercenter,1400 Lead Hill Blvd,Roseville,NA,NA,Supercenter,NA,Cirby Way,20220,Cirby Way,23164,Cirby Way,21839,Cirby Way,20665,Melody Lane,2379,355102.044030984,369374.286681567
2,Maui Express Lube - Kahului,20.8789412,-156.4481021,Maui Express Lube - Kahului,81 Alae St,"Kahului CDP, HI",96732,20.8789412,-156.4481021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,20.8789412,-156.4481021,"Kahului CDP, HI",96732,20.8789412,-156.4481021,NA,1.1125698721861,3.11233942612322,Costco Wholesale,Maui,540 Haleakala Hwy,Kahului,NA,NA,Warehouse,NA,0.439054944314127,1.10578739359585,2.38919951901797,Walmart USA,Kahului Store,101 Pakaula St,Kahului,NA,NA,Store,NA,Alae Street,533,Ho'okele Street,7841,Ho'okele Street,7857,Pulehu Place,414,Pulehu Place,278,59496.5625849342,62354.6951926643
2,Maui Oil Change & Tune Up - Kahului,20.8854122,-156.4638494,Maui Oil Change & Tune Up - Kahului,41 E Wakea Ave,"Kahului CDP, HI",96732,20.8854122,-156.4638494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,20.8854122,-156.4638494,"Kahului CDP, HI",96732,20.8854122,-156.4638494,NA,0.961487300536585,3.48045573885072,Costco Wholesale,Maui,540 Haleakala Hwy,Kahului,NA,NA,Warehouse,NA,0.76266827838015006,1.62580620109351,4.56614919861957,Walmart USA,Kahului Store,101 Pakaula St,Kahului,NA,NA,Store,NA,NA,1690,"East Wakea Avenue, HI 3920",6578,"East Wakea Avenue, HI 3920",6793,"South Puunene Avenue, HI 3500",11691,"South Puunene Avenue, HI 3500",11824,59684.3439752715,62536.6399570549
2,MAX Express Lube - Fort Myers,26.5226867,-81.870774,MAX Express Lube - Fort Myers,15140 S Tamiami Trail,"Fort White town, FL",33908,26.5226867,-81.870774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44952706151201,1.64388284184083,4.39610667255837,Valvoline Instant Oil Change,South Tamiami,13730 South Tamiami Trail,Ft Myers,FL,NA,NA,2,26.5226867,-81.870774,"Fort White town, FL",33908,26.5226867,-81.870774,NA,1.79429564087513,5.9002346629013,Costco Wholesale,Fort Myers,7171 Cypress Lake Dr,Fort Myers,NA,NA,Warehouse,NA,0.229462369880682,0.531408088114232,1.7286812061389,Walmart USA,Fort Myers Supercenter,14821 Ben C Pratt/6 Mile Cypress Pkwy,Fort Myers,NA,NA,Supercenter,NA,South Tamiami Trail,28796,South Tamiami Trail,28525,South Tamiami Trail,28202,primary_link,49,South Tamiami Trail,29129,123965.355015532,120190.544325536
2,Maxi-Lube Plus - Big Sandy,32.5840213,-95.1138333,Maxi-Lube Plus - Big Sandy,300 W Broadway St,"Big Sandy town, TX",75755,32.5840213,-95.1138333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,32.5840213,-95.1138333,"Big Sandy town, TX",75755,32.5840213,-95.1138333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,West Broadway Street,5584,West Broadway Street,5557,West Broadway Street,5488,West Broadway Street,5508,South Tyler Street,202,3851.60789199139,4046.72771913104
2,Maxi-Lube Tire & Auto - Griffin,33.2476847,-84.2814037,Maxi-Lube Tire & Auto - Griffin,1141 W Taylor St,"Griffin city, GA",30223,33.2476847,-84.2814037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,33.2476847,-84.2814037,"Griffin city, GA",30223,33.2476847,-84.2814037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92108754423582,2.30143517188429,5.77133356409456,Walmart USA,Griffin Supercenter,1569 N Expressway,Griffin,NA,NA,Supercenter,NA,West Taylor Street,11846,West Taylor Street,11898,West Taylor Street,11839,West Taylor Street,11618,West Taylor Street,11920,50294.3284780936,51317.7521840957
2,Mayfield Auto Repair - Grand Prairie,32.6906594,-97.0612509,Mayfield Auto Repair - Grand Prairie,3055 E Mayfield Rd,"Grand Prairie city, TX",75052,32.6906594,-97.0612509,3.81451848054977,4.24925512311079,9.15962244309172,Express Care,Express Care Arlington,3022 S Cooper St,Arlington,TX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,32.6906594,-97.0612509,"Grand Prairie city, TX",75052,32.6906594,-97.0612509,NA,3.83657667953391,6.44291025771644,Costco Wholesale,Arlington,600 W Arbrook Blvd,Arlington,NA,NA,Warehouse,NA,1.87746507600054,2.53597978741031,5.50331595361496,Walmart USA,Grand Prairie Supercenter,2225 W Interstate 20,Grand Prairie,NA,NA,Supercenter,NA,secondary_link,3963,South State Highway 360,8537,Mayfield Road,6046,Mayfield Road,8944,South State Highway 360,11440,335379.616629858,342006.485932899
2,MCA Car Wash & Super Lube - Bronx,40.881212,-73.837817,MCA Car Wash & Super Lube - Bronx,3808 Boston Rd,"Bronx plc, NY",10475,40.881212,-73.837817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17875010021875,1.21061579281882,4.34441847642677,Valvoline Instant Oil Change,Bronx,3090 Boston Road,Bronx,NY,NA,NA,2,40.881212,-73.837817,"Bronx plc, NY",10475,40.881212,-73.837817,NA,3.18436932832039,8.99888702250038,Costco Wholesale,New Rochelle,1 Industrial Ln,New Rochelle,NA,NA,Warehouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boston Road,9685,Boston Road,9481,Boston Road,9352,Baychester Avenue,9027,Boston Road,9400,1552836.31221703,1566480.33800739
2,McBrayer Quick Lube - West Point,33.6127719,-88.6594222,McBrayer Quick Lube - West Point,521 US-45 ALT,"West town, MS",39773,33.6127719,-88.6594222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,33.6127719,-88.6594222,"West town, MS",39773,33.6127719,-88.6594222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.80596146042505,1.99557392221988,3.7629851441817,Walmart USA,West Point Supercenter,5509 Highway 45 Alt S,West Point,NA,NA,Supercenter,NA,US Highway 45 Alternate,10376,US Highway 45 Alternate,10123,US Highway 45 Alternate,10839,US Highway 45 Alternate,9753,US Highway 45 Alternate,11277,12096.5258992022,11993.3793175503
